"Path","Line"
"FuseCP/Sources/FuseCP.Build/ServiceClass.cshtml","39"
"FuseCP/Sources/FuseCP.Build/ServiceClass.cshtml","40"
"FuseCP/Sources/FuseCP.EnterpriseServer.Code/EnterpriseStorage/EnterpriseStorageController.cs","309"
"FuseCP/Sources/FuseCP.EnterpriseServer.Code/EnterpriseStorage/EnterpriseStorageController.cs","705"
"FuseCP/Sources/FuseCP.EnterpriseServer.Code/HostedSolution/ReportController.cs","144"
"FuseCP/Sources/FuseCP.EnterpriseServer.Code/HostedSolution/ReportController.cs","157"
"FuseCP/Sources/FuseCP.EnterpriseServer.Data/obj/Debug/net10.0/generated/System.Text.RegularExpressions.Generator/System.Text.RegularExpressions.Generator.RegexGenerator/RegexGenerator.g.cs","1368"
"FuseCP/Sources/FuseCP.EnterpriseServer.Data/obj/Debug/net10.0/generated/System.Text.RegularExpressions.Generator/System.Text.RegularExpressions.Generator.RegexGenerator/RegexGenerator.g.cs","1403"
"FuseCP/Sources/FuseCP.EnterpriseServer.Data/obj/Debug/net10.0/generated/System.Text.RegularExpressions.Generator/System.Text.RegularExpressions.Generator.RegexGenerator/RegexGenerator.g.cs","1490"
"FuseCP/Sources/FuseCP.EnterpriseServer.Data/obj/Debug/net10.0/generated/System.Text.RegularExpressions.Generator/System.Text.RegularExpressions.Generator.RegexGenerator/RegexGenerator.g.cs","1500"
"FuseCP/Sources/FuseCP.EnterpriseServer.Data/obj/Debug/net10.0/generated/System.Text.RegularExpressions.Generator/System.Text.RegularExpressions.Generator.RegexGenerator/RegexGenerator.g.cs","1503"
"FuseCP/Sources/FuseCP.EnterpriseServer.Data/obj/Debug/net10.0/generated/System.Text.RegularExpressions.Generator/System.Text.RegularExpressions.Generator.RegexGenerator/RegexGenerator.g.cs","1511"
"FuseCP/Sources/FuseCP.EnterpriseServer.Data/obj/Debug/net10.0/generated/System.Text.RegularExpressions.Generator/System.Text.RegularExpressions.Generator.RegexGenerator/RegexGenerator.g.cs","1542"
"FuseCP/Sources/FuseCP.Providers.FTP.VsFtp/CryptSharp/Utility/DesCipher.cs","153"
"FuseCP/Sources/FuseCP.Providers.FTP.VsFtp/CryptSharp/Utility/DesCipher.cs","164"
"FuseCP/Sources/FuseCP.Providers.FTP.VsFtp/CryptSharp/Utility/DesCipher.cs","187"
"FuseCP/Sources/FuseCP.Providers.FTP.VsFtp/CryptSharp/Utility/Salsa20Core.cs","106"
"FuseCP/Sources/FuseCP.Providers.FTP.VsFtp/CryptSharp/Utility/Salsa20Core.cs","107"
"FuseCP/Sources/FuseCP.Providers.FTP.VsFtp/CryptSharp/Utility/Salsa20Core.cs","108"
"FuseCP/Sources/FuseCP.Providers.FTP.VsFtp/CryptSharp/Utility/Salsa20Core.cs","109"
"FuseCP/Sources/FuseCP.Providers.FTP.VsFtp/CryptSharp/Utility/Salsa20Core.cs","110"
"FuseCP/Sources/FuseCP.Providers.FTP.VsFtp/CryptSharp/Utility/Salsa20Core.cs","111"
"FuseCP/Sources/FuseCP.Providers.FTP.VsFtp/CryptSharp/Utility/Salsa20Core.cs","112"
"FuseCP/Sources/FuseCP.Providers.FTP.VsFtp/CryptSharp/Utility/Salsa20Core.cs","113"
"FuseCP/Sources/FuseCP.Providers.FTP.VsFtp/CryptSharp/Utility/Salsa20Core.cs","114"
"FuseCP/Sources/FuseCP.Providers.FTP.VsFtp/CryptSharp/Utility/Salsa20Core.cs","115"
"FuseCP/Sources/FuseCP.Providers.FTP.VsFtp/CryptSharp/Utility/Salsa20Core.cs","116"
"FuseCP/Sources/FuseCP.Providers.FTP.VsFtp/CryptSharp/Utility/Salsa20Core.cs","117"
"FuseCP/Sources/FuseCP.Providers.FTP.VsFtp/CryptSharp/Utility/Salsa20Core.cs","118"
"FuseCP/Sources/FuseCP.Providers.FTP.VsFtp/CryptSharp/Utility/Salsa20Core.cs","119"
"FuseCP/Sources/FuseCP.Providers.FTP.VsFtp/CryptSharp/Utility/Salsa20Core.cs","120"
"FuseCP/Sources/FuseCP.Providers.FTP.VsFtp/CryptSharp/Utility/Salsa20Core.cs","121"
"FuseCP/Sources/FuseCP.Server.Utils/BsdDES.cs","662"
"FuseCP/Sources/FuseCP.WebDav.Core/Owa/CobaltManager.cs","59"
"FuseCP/Sources/FuseCP.WebDavPortal/Views/FileSystem/_ResourseCollectionPartial.cshtml","3"
"FuseCP/Sources/FuseCP.WebDavPortal/Views/FileSystem/_ShowContentBigIcons.cshtml","12"
